Snapshot_Date,SalesPerson_Name,SalesPersonID,AccountManager_ID,AccountManager_Name,country_id,country_name,Company,Vendor ID,Vendor,Balance Outstanding,Future_Aging,Aging_0_30,Aging_31_60,Aging_61_90,Aging_91_120,Aging_121_180,Aging_181_360,Above_361_Aging,%GT,LP Date,Vendor LP Amount
2024-02-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,888764.21,21090.24,188024.85,161731.33,221022.69,166022.88,144711.75,7250.73,0.0,0.07,2023-12-21 14:10:51.509070,177728.55
2024-03-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,1035735.57,14937.5,220351.5,170236.4,168135.66,197449.34,166020.57,108777.29,4764.81,0.03,2023-12-21 14:10:51.509070,177728.55
2024-04-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,878751.91,23106.09,187061.56,202695.69,181604.43,179362.29,128027.93,0.0,0.0,0.12,2024-03-19 14:10:51.509397,272024.55
2024-05-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,1001652.13,20624.75,160720.68,202736.61,217526.64,150044.28,183721.03,86902.9,0.0,0.14,2024-03-19 14:10:51.509397,272024.55
2024-06-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,1170937.81,32400.89,217208.65,173615.54,226958.5,188392.33,155389.97,148997.14,60375.68,0.09,2024-03-19 14:10:51.509397,272024.55
2024-07-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,855335.5,22071.24,183647.29,172433.52,195791.02,233816.3,69647.38,0.0,0.0,0.08,2024-06-08 14:10:51.509732,419425.51
2024-08-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,964052.83,24554.04,170009.99,187548.13,169245.45,212924.08,170017.4,54307.78,0.0,0.09,2024-06-08 14:10:51.509732,419425.51
2024-09-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,1114415.74,36724.12,185315.02,188378.77,194223.28,192232.08,181611.43,134376.5,38278.65,0.12,2024-06-08 14:10:51.509732,419425.51
2024-10-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,890232.14,23363.3,193466.05,173945.04,185077.1,213303.32,124440.63,0.0,0.0,0.12,2024-09-24 14:10:51.510052,352500.17
2024-11-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,1047678.04,36597.57,201060.21,193830.71,201691.54,192782.27,178488.59,79824.73,0.0,0.08,2024-09-24 14:10:51.510052,352500.17
2024-12-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,1214153.79,39731.54,210221.45,221576.09,195954.4,182653.98,191094.62,154488.01,58165.23,0.1,2024-09-24 14:10:51.510052,352500.17
2025-01-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,980690.26,18782.68,163191.0,181102.93,242778.38,191740.46,188665.85,13211.63,0.0,0.14,2024-12-20 14:10:51.510355,322020.32
2025-02-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,1127415.77,37358.2,202608.98,158977.03,200169.78,214387.51,209974.36,132459.17,8838.94,0.03,2024-12-20 14:10:51.510355,322020.32
2025-03-01,Allison Hill,1,1,Gabrielle Davis,1,United Kingdom,"Lee, Jones and Stanley",1,Lisa Hensley,1269546.59,21920.35,219972.0,158979.35,178572.24,200074.02,235679.91,166020.67,110248.39,0.09,2024-12-20 14:10:51.510355,322020.32
2023-04-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,133168.18,11943.91,39950.45,33292.04,26633.64,19975.23,6658.41,3995.05,2663.36,0.04,,0.0
2023-05-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,201808.44,17445.14,80377.37,37282.46,34596.77,22598.72,15344.36,6468.02,5140.73,0.01,,0.0
2023-06-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,267376.88,19197.31,82783.68,75041.02,32772.47,32297.23,22201.89,13001.04,9279.56,0.05,,0.0
2023-07-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,281393.51,9194.09,99657.17,72551.08,63242.66,31419.09,14523.51,0.0,0.0,0.14,2023-06-04 14:10:51.510946,54008.25
2023-08-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,358449.48,7848.42,109006.17,89539.28,64169.12,56314.1,28016.84,11403.97,0.0,0.09,2023-06-04 14:10:51.510946,54008.25
2023-09-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,412627.25,14639.48,76349.76,117554.0,71793.17,67601.94,48346.72,21998.61,8983.05,0.08,2023-06-04 14:10:51.510946,54008.25
2023-10-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,335144.67,7815.56,84434.84,84523.29,106345.14,59841.39,0.0,0.0,0.0,0.1,2023-09-06 14:10:51.511245,133858.8
2023-11-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,402985.15,13262.19,94766.92,84087.55,93507.53,89921.04,40702.12,0.0,0.0,0.14,2023-09-06 14:10:51.511245,133858.8
2023-12-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,454579.87,7858.42,82231.46,90252.22,90375.32,91138.08,71420.04,29162.75,0.0,0.06,2023-09-06 14:10:51.511245,133858.8
2024-01-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,346052.81,16283.9,82732.92,90210.82,80783.6,86255.23,6070.24,0.0,0.0,0.05,2023-12-11 14:10:51.511549,166021.42
2024-02-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,413273.68,14106.09,96688.21,86940.04,86374.83,72548.02,66345.05,4377.54,0.0,0.08,2023-12-11 14:10:51.511549,166021.42
2024-03-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,478512.15,12352.88,91071.73,101833.22,86236.74,74168.09,69432.16,53072.0,2698.2,0.11,2023-12-11 14:10:51.511549,166021.42
2024-04-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,388110.61,12611.95,88730.92,85347.43,98030.09,81632.35,34369.81,0.0,0.0,0.11,2024-03-28 14:10:51.511864,143828.65
2024-05-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,452097.28,13549.78,83527.19,95725.22,96933.86,90407.61,62025.91,23477.5,0.0,0.1,2024-03-28 14:10:51.511864,143828.65
2024-06-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,511439.31,14246.65,92389.22,83898.49,101021.81,90441.83,82088.97,45523.02,16075.97,0.09,2024-03-28 14:10:51.511864,143828.65
2024-07-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,374447.28,9263.74,71702.27,99293.4,92868.55,99334.74,11248.33,0.0,0.0,0.13,2024-06-17 14:10:51.512154,189960.3
2024-08-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,437398.09,17126.23,78479.88,88393.99,102729.5,77790.96,81287.32,8716.45,0.0,0.03,2024-06-17 14:10:51.512154,189960.3
2024-09-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,514342.87,14819.62,102167.29,86363.61,76270.76,99874.54,79884.26,62846.74,6935.66,0.11,2024-06-17 14:10:51.512154,189960.3
2024-10-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,509898.98,11458.02,98497.35,92582.4,87916.48,84313.64,81660.24,64928.87,0.0,0.12,2024-09-09 14:10:51.512449,66767.16
2024-11-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,584039.1,8135.79,113230.84,92623.68,92757.84,87683.25,74055.41,75598.03,48090.04,0.11,2024-09-09 14:10:51.512449,66767.16
2024-12-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,645800.29,16252.9,101746.64,106270.01,80678.65,105761.72,75758.71,77762.15,97822.41,0.11,2024-09-09 14:10:51.512449,66767.16
2025-01-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,563801.96,12599.88,86631.08,110426.14,97979.69,92550.77,86787.44,83125.71,6301.13,0.09,2024-12-30 14:10:51.512728,141616.32
2025-02-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,634123.06,12392.75,101939.14,84193.15,109545.5,105832.71,85135.09,80605.7,66871.77,0.08,2024-12-30 14:10:51.512728,141616.32
2025-03-01,Cristian Santos,5,1,Gabrielle Davis,2,United Arab Emirates,James Group,2,Victoria Wyatt,703443.97,18821.2,101773.04,98114.55,95355.18,100702.92,104836.77,83793.5,118868.01,0.03,2024-12-30 14:10:51.512728,141616.32
2023-04-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,961676.14,120459.78,480838.07,288502.84,96167.61,48083.81,28850.28,9616.76,9616.76,0.09,,0.0
2023-05-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,1262119.46,73583.66,469423.42,415526.46,210862.96,80503.69,44371.22,25867.04,15564.66,0.04,,0.0
2023-06-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,1581479.59,67630.92,443882.02,461006.1,346924.23,192532.53,62320.79,39981.9,34832.01,0.08,,0.0
2023-07-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,1576820.02,96599.97,496564.29,534278.64,351762.45,194214.64,0.0,0.0,0.0,0.11,2023-06-23 14:10:51.513302,408631.82
2023-08-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,1914224.33,58009.56,512261.38,501052.26,475724.65,290546.71,134639.32,0.0,0.0,0.13,2023-06-23 14:10:51.513302,408631.82
2023-09-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,2261395.02,37891.28,469824.85,517634.73,490849.47,455510.07,241322.51,86253.38,0.0,0.13,2023-06-23 14:10:51.513302,408631.82
2023-10-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,2041510.07,77130.26,521858.92,480477.67,496700.17,520504.6,21968.71,0.0,0.0,0.1,2023-09-23 14:10:51.513614,605805.83
2023-11-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,2419490.0,97894.95,559865.85,453212.76,469905.02,535433.92,385735.67,15336.77,0.0,0.03,2023-09-23 14:10:51.513614,605805.83
2023-12-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,2802463.06,103149.76,552241.07,488772.84,492049.2,478337.84,539752.93,242003.37,9305.81,0.14,2023-09-23 14:10:51.513614,605805.83
2024-01-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,2609141.64,85474.95,550987.01,490039.17,549670.65,441686.78,569570.24,7187.79,0.0,0.14,2023-12-12 14:10:51.513924,568959.98
2024-02-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3019206.63,84943.99,557808.37,597717.46,456925.28,528648.87,527271.38,345484.41,5350.87,0.05,2023-12-12 14:10:51.513924,568959.98
2024-03-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3371475.34,52204.03,497537.73,600154.11,506997.19,552536.5,450239.54,515135.37,248874.91,0.1,2023-12-12 14:10:51.513924,568959.98
2024-04-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3096668.24,85482.13,437014.42,608201.7,475103.83,571762.57,540439.95,426264.02,37881.76,0.1,2024-03-05 14:10:51.514215,591908.59
2024-05-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3499056.02,54031.31,510803.56,560505.89,530298.02,486602.48,616370.97,500029.28,294445.82,0.08,2024-03-05 14:10:51.514215,591908.59
2024-06-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3841708.37,48753.75,466841.33,547383.74,520861.01,594534.08,482682.14,630687.26,598718.81,0.13,2024-03-05 14:10:51.514215,591908.59
2024-07-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,2889655.69,41924.82,588906.79,495266.32,448493.82,539816.16,602328.36,214844.24,0.0,0.04,2024-06-20 14:10:51.514512,1358570.35
2024-08-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3191520.74,81469.9,440765.7,566799.61,474551.45,536030.79,529194.34,490922.04,153256.81,0.1,2024-06-20 14:10:51.514512,1358570.35
2024-09-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3549187.96,60507.24,500136.25,441159.06,538731.4,500271.25,598893.85,448993.9,521002.25,0.02,2024-06-20 14:10:51.514512,1358570.35
2024-10-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,2770079.25,62258.88,453768.37,482916.3,470175.82,490577.34,597571.92,275069.5,0.0,0.06,2024-09-16 14:10:51.514799,1093355.95
2024-11-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3184141.25,100460.43,556377.57,438972.19,481340.86,532054.9,467849.59,498600.32,208945.83,0.02,2024-09-16 14:10:51.514799,1093355.95
2024-12-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3487418.27,49025.79,446635.81,532954.68,440367.36,539133.7,530100.86,489601.78,508624.09,0.06,2024-09-16 14:10:51.514799,1093355.95
2025-01-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3395647.47,82086.89,481458.98,450059.87,494904.54,484733.7,576734.34,482030.1,425725.94,0.13,2024-12-12 14:10:51.515102,411314.63
2025-02-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3678950.2,57856.34,436039.8,438611.3,466386.58,508336.67,461270.88,629959.13,738345.84,0.11,2024-12-12 14:10:51.515102,411314.63
2025-03-01,Abigail Shaffer,7,1,Gabrielle Davis,3,Saudi Arabia,Santiago Ltd,3,Holly Wood,3984378.49,78352.54,456392.34,436975.02,459654.25,479779.49,481051.25,516438.48,1154087.65,0.06,2024-12-12 14:10:51.515102,411314.63
2023-04-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,214335.94,19235.87,107167.97,64300.78,21433.59,10716.8,6430.08,7630.7812893158625,2143.36,0.04,,0.0
2023-05-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,296802.22,13767.52,118803.55,84348.99,57931.8,17241.7,9297.35,5608.18,3570.64,0.12,,0.0
2023-06-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,408722.53,32783.13,136293.45,125873.62,72363.17,42104.57,16957.02,7842.76,7287.95,0.15,,0.0
2023-07-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,425386.45,12552.54,130819.77,131012.13,115458.52,48096.03,0.0,0.0,0.0,0.15,2023-06-12 14:10:51.515660,73022.69
2023-08-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,510708.15,22717.45,117565.69,150275.36,108703.36,96235.45,37928.28,0.0,0.0,0.02,2023-06-12 14:10:51.515660,73022.69
2023-09-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,622169.73,20578.66,139793.84,129117.19,150847.11,100913.4,76824.48,24673.73,0.0,0.06,2023-06-12 14:10:51.515660,73022.69
2023-10-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,411814.52,26753.37,135494.46,138002.8,123747.03,14570.24,0.0,0.0,0.0,0.09,2023-09-08 14:10:51.515968,306210.96
2023-11-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,515072.12,30638.76,155152.47,117577.15,137248.8,95317.05,9776.66,0.0,0.0,0.1,2023-09-08 14:10:51.515968,306210.96
2023-12-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,608992.45,19137.16,132625.2,140769.21,136339.15,132090.93,60796.05,6371.91,0.0,0.09,2023-09-08 14:10:51.515968,306210.96
2024-01-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,607965.97,28636.52,143469.18,124513.25,144692.02,137468.04,57823.48,0.0,0.0,0.02,2023-12-18 14:10:51.516262,101820.43
2024-02-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,718782.91,13245.35,147253.79,148163.33,131331.26,130167.82,121146.09,40720.62,0.0,0.11,2023-12-18 14:10:51.516262,101820.43
2024-03-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,814770.97,24957.86,152911.24,148271.86,124085.08,148947.41,118834.59,96397.75,25323.04,0.14,2023-12-18 14:10:51.516262,101820.43
2024-04-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,765045.24,19996.51,151547.79,158118.85,137831.22,130846.88,131706.44,54994.06,0.0,0.01,2024-03-10 14:10:51.516560,156987.68
2024-05-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,867360.61,26780.64,156953.67,141429.33,158012.76,127313.74,144212.56,98167.43,41271.12,0.02,2024-03-10 14:10:51.516560,156987.68
2024-06-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,949622.57,16908.37,117671.35,172827.69,143049.07,144384.61,138156.83,116424.88,117108.14,0.1,2024-03-10 14:10:51.516560,156987.68
2024-07-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,834027.5,22161.96,134898.48,141522.41,148752.33,149945.86,137236.33,121672.08,0.0,0.1,2024-06-11 14:10:51.516855,217239.74
2024-08-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,924564.9,19462.03,138060.18,140674.5,136618.53,156096.55,138439.02,127159.21,87516.92,0.07,2024-06-11 14:10:51.516855,217239.74
2024-09-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,1021892.44,13374.72,137713.47,128083.54,139482.58,164431.5,149821.67,131201.64,171158.05,0.13,2024-06-11 14:10:51.516855,217239.74
2024-10-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,850917.59,18774.62,131392.03,147663.71,139613.83,142279.05,154386.64,135582.33,0.0,0.13,2024-09-15 14:10:51.517140,273497.79
2024-11-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,948324.55,13017.64,147791.32,139161.75,124104.35,153619.07,146947.01,140773.59,95927.44,0.07,2024-09-15 14:10:51.517140,273497.79
2024-12-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,1055665.9,18610.02,143818.63,151678.58,145628.97,135211.37,131679.0,144078.46,203570.89,0.13,2024-09-15 14:10:51.517140,273497.79
2025-01-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,639804.55,12191.01,121720.33,132652.21,176301.33,121997.89,87132.79,0.0,0.0,0.13,2024-12-17 14:10:51.517430,495769.39
2025-02-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,721488.45,22235.15,109307.34,144043.47,124598.74,178086.43,100318.73,65133.73,0.0,0.1,2024-12-17 14:10:51.517430,495769.39
2025-03-01,Noah Rhodes,2,3,Monica Herrera,1,United Kingdom,Ferguson and Sons,4,Maria Lynch,816526.19,20848.58,125290.71,114061.28,138603.1,137579.17,164229.13,90748.67,46014.13,0.03,2024-12-17 14:10:51.517430,495769.39
2023-04-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,21855.28,2691.07,6556.59,5463.82,4371.06,3278.29,1092.76,655.66,437.11,0.08,,0.0
2023-05-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,33574.43,2709.22,13272.82,7040.27,4519.14,4319.83,2660.99,894.51,866.87,0.11,,0.0
2023-06-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,42192.35,1951.79,13538.84,10714.48,6261.6,3934.36,4176.1,2137.96,1429.01,0.1,,0.0
2023-07-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,39889.23,1588.02,12861.7,12913.04,10076.47,4038.02,0.0,0.0,0.0,0.01,2023-06-15 14:10:51.517990,11900.87
2023-08-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,51099.15,2319.16,14469.78,12879.34,12742.22,8048.63,2959.17,0.0,0.0,0.04,2023-06-15 14:10:51.517990,11900.87
2023-09-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,60917.01,1934.78,14992.69,13754.98,11405.22,12432.08,6214.5,2117.55,0.0,0.06,2023-06-15 14:10:51.517990,11900.87
2023-10-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,64767.9,1522.6,16538.33,12639.71,13923.23,12555.38,9111.25,0.0,0.0,0.11,2023-09-17 14:10:51.518281,6988.95
2023-11-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,73382.68,1502.15,13080.14,16726.97,10957.69,15285.32,10672.99,6659.57,0.0,0.14,2023-09-17 14:10:51.518281,6988.95
2023-12-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,82133.28,876.96,12945.81,14553.66,13908.46,13505.8,12756.98,9529.56,4933.01,0.08,2023-09-17 14:10:51.518281,6988.95
2024-01-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,78432.39,1256.41,12035.7,15322.51,12387.68,13475.19,12892.24,12319.09,0.0,0.02,2023-12-29 14:10:51.518583,12318.84
2024-02-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,89770.89,2588.75,15904.36,12472.45,14533.55,12532.65,12176.23,12605.6,9546.05,0.1,2023-12-29 14:10:51.518583,12318.84
2024-03-01,Noah Rhodes,2,2,Ryan Munoz,2,United Arab Emirates,"Watts, Robinson and Nguyen",5,James Mayo,98129.07,2373.55,12928.16,14800.92,14342.29,13329.97,12751.5,10980.35,18995.89,0.1,2023-12-29 14:10:51.518583,12318.84
